Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Recovery_Rate,Total_cases,Death_Rate
Poland,1676,32856,8870,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,87249.0,37.65773819757246,43402,3.8615731993917333
Portugal,1719,35375,13205,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,100893.0,35.06189725749061,50299,3.417562973418955
Qatar,165,106328,3104,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,219790.0,48.37708721961872,109597,0.1505515661925053
Romania,2206,25794,17902,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,93078.0,27.712241345967897,45902,4.805890810857915
Russia,13334,602249,201097,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,1642129.0,36.67488973156189,816680,1.632708037419797
Rwanda,5,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,3873.0,25.17428350116189,1879,0.2660989888238425
Saint Kitts and Nevis,0,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,34.0,44.11764705882353,17,0.0
Saint Lucia,0,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,48.0,45.83333333333333,24,0.0
Saint Vincent and the Grenadines,0,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,104.0,37.5,52,0.0
San Marino,42,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,1398.0,46.99570815450644,699,6.008583690987124
Sao Tome and Principe,14,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,1770.0,41.46892655367231,865,1.6184971098265895
Saudi Arabia,2760,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,542501.0,41.0941177988612,268934,1.0262741044271086
Senegal,194,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,19682.0,32.908241032415404,9764,1.9868906185989348
Serbia,543,0,23598,411.0,9.0,0,2.25,0.0,inf,21253,2888,13.59,48702.0,0.0,24141,2.249285447993041
Seychelles,0,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,228.0,17.105263157894736,114,0.0
Sierra Leone,66,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,3570.0,36.89075630252101,1783,3.701626472237801
Singapore,27,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,102316.0,44.657727041713905,50838,0.05310987843738935
Slovakia,28,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,4403.0,36.70224846695435,2181,1.2838147638697845
Slovenia,116,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,4234.0,40.930562116202175,2087,5.558217537134643
Somalia,93,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,6432.0,23.989427860696516,3196,2.909887359198999
South Africa,7067,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,922300.0,29.808630597419494,452529,1.5616678710093719
South Korea,300,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,28537.0,45.57942320496198,14203,2.1122298106033934
South Sudan,46,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,4654.0,25.247099269445638,2305,1.9956616052060738
Spain,28432,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,544842.0,27.59992805253633,272421,10.436787178668311
Sri Lanka,11,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,5648.0,37.55311614730878,2805,0.39215686274509803
Sudan,720,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,22939.0,25.890404987139803,11424,6.302521008403361
Suriname,24,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,3046.0,30.367695338148394,1483,1.6183412002697235
Sweden,5700,0,73695,398.0,3.0,0,7.18,0.0,inf,78048,1347,1.73,159191.0,0.0,79395,7.179293406385792
Switzerland,1978,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,69220.0,44.64027737648079,34477,5.737158105403602
Syria,40,0,634,24.0,2.0,0,5.93,0.0,inf,522,152,29.12,1374.0,0.0,674,5.934718100890208
Taiwan*,7,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,928.0,47.41379310344828,462,1.5151515151515151
Tajikistan,60,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,14572.0,41.36700521548175,7235,0.82930200414651
Tanzania,21,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,1018.0,17.976424361493123,509,4.12573673870334
Thailand,58,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,6602.0,47.12208421690397,3297,1.7591750075826509
Timor-Leste,0,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,48.0,0.0,24,0.0
Togo,18,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,1762.0,34.44948921679909,874,2.059496567505721
Trinidad and Tobago,8,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,297.0,43.09764309764309,148,5.405405405405405
Tunisia,50,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,2928.0,39.51502732240437,1455,3.436426116838488
Turkey,5630,210469,10920,1282.7401129943503,30.401129943502823,982,2.48,92.71,2.67,220572,6447,2.92,456333.1412429378,46.121787128310444,227019,2.4799686369863316
US,148011,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,8665871.0,15.299143040555299,4290259,3.4499315775574386
Uganda,2,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,2273.0,43.37879454465464,1128,0.1773049645390071
Ukraine,1636,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,135355.0,27.48476229175132,67096,2.438297364969596
United Arab Emirates,345,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,118947.0,44.145711955745,59177,0.5829967723946804
United Kingdom,45844,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,604114.0,0.23786901147796607,301708,15.194824134593713
Uruguay,35,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,2418.0,39.33002481389578,1202,2.9118136439267883
Uzbekistan,121,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,43670.0,26.732310510648045,21209,0.5705125182705455
Venezuela,146,9959,5883,1282.7401129943503,30.401129943502823,213,0.91,62.29,1.47,12334,3654,29.63,33502.141242937854,29.72645816213113,15988,0.9131848886664998
Vietnam,0,365,66,1282.7401129943503,30.401129943502823,0,0.0,84.69,0.0,384,47,12.24,2175.141242937853,16.78051948051948,431,0.0
West Bank and Gaza,78,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,21396.0,17.535988035146758,10621,0.7343941248470013
Western Sahara,1,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,20.0,40.0,10,10.0
Yemen,483,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,3432.0,24.27156177156177,1691,28.562980484920164
Zambia,140,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,9641.0,29.198215952702,4552,3.0755711775043935
Zimbabwe,3516,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,5590.0,9.695885509838998,6184,56.85640362225097
